state,year,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
Maryland,2022,83659,83.16140522836754,12.060166867880323
Maryland,2023,91072,81.27415671117357,12.10862833801827
Maryland,2024,101351,81.53940266992925,12.041331609949582
Maryland,2025,128684,81.31547045475739,12.6004281806596
Maryland,2026,64365,81.4883865454828,12.124143556280588
Massachusetts,2020,1008708,85.57342660115712,11.524737089425285
Massachusetts,2021,259406,84.00383954110545,12.795825848284156
Massachusetts,2022,260638,89.40446136020074,10.545918093294148
Massachusetts,2023,304917,88.37454126860752,11.038441608700072
Massachusetts,2024,290636,86.66785945306155,11.3408645178161
Massachusetts,2025,300747,83.4116383538323,13.024864753430624
Massachusetts,2026,205274,86.41815329754378,11.515764295526955
Michigan,2020,2351479,82.39593039104327,14.270965847451754
Michigan,2021,415359,81.80923008770726,14.147022214518044
Michigan,2022,238564,85.51625559598263,12.904727871766067
Michigan,2023,253940,83.54571946129006,12.987613215720248
Michigan,2024,316697,87.19122694562942,12.220262585373401
Michigan,2025,307367,88.79970849180296,11.909876466894625
Michigan,2026,189580,86.60829201392552,12.522462812532968
Minnesota,2020,84925,95.87989402413895,8.44347954077127
Minnesota,2021,290416,93.41461902925458,9.146748113051622
Minnesota,2022,198550,94.29463611181063,8.900297154369177
Minnesota,2023,261554,94.22299028116565,8.961256566521635
Minnesota,2024,297756,94.91899407568613,8.774476416931984
Minnesota,2025,296867,95.34303240171525,8.651261339252931
Minnesota,2026,200969,95.37092785454473,8.634879011190781
Mississippi,2020,488467,78.72097808040257,15.036666755379585
Mississippi,2021,70517,89.1416254236567,10.695959839471334
Mississippi,2022,28673,92.09360722631047,9.66419628221672
Mississippi,2023,31440,89.54198473282443,10.418304707379136
Mississippi,2024,33363,91.79630129185026,9.91201330815574
Mississippi,2025,33066,92.7175951128047,9.635789028004597
Mississippi,2026,23098,91.09879643259157,10.414105117326175
Missouri,2020,705030,92.05849396479583,10.973872033814164
