state,year,month,ui_first_payments_total,ui_pct_within_21_days,ui_avg_days_to_first_payment_approx
South Carolina,2026,5,5487,96.33679606342264,8.606342263531985
South Carolina,2026,6,10141,96.2232521447589,8.499013903954244
South Carolina,2026,7,7305,95.72895277207392,8.795619438740589
South Carolina,2026,8,7003,96.08739111809224,8.685277738112237
South Dakota,2020,1,2409,97.79991697799917,9.012245745122458
South Dakota,2020,2,1216,97.61513157894737,8.907483552631579
South Dakota,2020,3,1533,99.15198956294846,7.959882583170255
South Dakota,2020,4,35044,98.18228512726857,7.91975801849104
South Dakota,2020,5,13389,85.30883561132273,11.40820823063709
South Dakota,2020,6,9119,82.57484373286545,13.910735826296744
South Dakota,2020,7,3318,82.24834237492466,14.868444846292947
South Dakota,2020,8,2183,70.31607879065506,16.796152084287677
South Dakota,2020,9,993,82.57804632426989,12.708459214501511
South Dakota,2020,10,648,91.51234567901234,9.02391975308642
South Dakota,2020,11,951,89.27444794952682,9.812828601472134
South Dakota,2020,12,1939,92.83135636926251,9.832903558535328
South Dakota,2021,1,2402,95.54537885095755,9.457327227310575
South Dakota,2021,2,1708,91.21779859484778,10.348360655737705
South Dakota,2021,3,1145,88.82096069868996,12.117903930131005
South Dakota,2021,4,777,84.42728442728443,14.893822393822393
South Dakota,2021,5,561,76.8270944741533,15.456327985739751
South Dakota,2021,6,651,87.86482334869432,11.089861751152073
South Dakota,2021,7,800,94.125,9.445625
South Dakota,2021,8,450,95.77777777777777,8.944444444444445
South Dakota,2021,9,268,95.52238805970148,9.42910447761194
South Dakota,2021,10,239,94.14225941422593,9.364016736401673
South Dakota,2021,11,405,95.30864197530863,9.285185185185185
South Dakota,2021,12,1231,98.94394800974817,8.40089358245329
South Dakota,2022,1,2352,97.40646258503402,8.65688775510204
South Dakota,2022,2,1040,97.40384615384615,8.65673076923077
South Dakota,2022,3,517,95.16441005802709,9.190522243713733
South Dakota,2022,4,243,94.65020576131687,9.796296296296296
South Dakota,2022,5,284,95.77464788732394,9.51056338028169
South Dakota,2022,6,455,96.48351648351648,8.716483516483516
South Dakota,2022,7,488,96.51639344262296,9.256147540983607
South Dakota,2022,8,403,93.05210918114145,9.529776674937965
South Dakota,2022,9,178,93.82022471910112,9.567415730337078
South Dakota,2022,10,279,97.4910394265233,8.863799283154123
South Dakota,2022,11,410,96.34146341463415,9.61829268292683
South Dakota,2022,12,1291,98.14097598760651,8.450038729666925
South Dakota,2023,1,2148,96.60148975791434,9.064944134078212
South Dakota,2023,2,1098,97.54098360655738,8.765938069216757
South Dakota,2023,3,759,97.36495388669302,8.960474308300395
South Dakota,2023,4,329,93.00911854103343,9.940729483282675
South Dakota,2023,5,340,97.94117647058823,8.794117647058824
South Dakota,2023,6,488,97.54098360655738,8.684426229508198
South Dakota,2023,7,595,95.12605042016806,9.573109243697479
South Dakota,2023,8,559,95.70661896243293,9.008944543828266
South Dakota,2023,9,246,93.90243902439023,9.922764227642276
South Dakota,2023,10,267,96.25468164794007,9.51685393258427
South Dakota,2023,11,514,96.10894941634241,9.183852140077821
South Dakota,2023,12,1254,97.52791068580542,8.734848484848484
South Dakota,2024,1,2109,97.34471313418682,8.844713134186819
South Dakota,2024,2,1318,97.79969650986344,8.620257966616085
South Dakota,2024,3,473,96.61733615221986,9.047568710359409
South Dakota,2024,4,478,95.18828451882845,9.50418410041841
South Dakota,2024,5,385,96.88311688311688,9.167532467532467
South Dakota,2024,6,683,96.92532942898976,8.607613469985358
South Dakota,2024,7,646,97.21362229102168,9.048761609907121
South Dakota,2024,8,420,96.19047619047619,9.266666666666667
South Dakota,2024,9,348,95.40229885057471,9.280172413793103
South Dakota,2024,10,420,96.9047619047619,8.983333333333333
South Dakota,2024,11,500,96.39999999999999,8.93
South Dakota,2024,12,1692,97.75413711583924,8.590425531914894
South Dakota,2025,1,2394,96.99248120300751,8.887426900584796
South Dakota,2025,2,1222,96.07201309328968,8.915302782324058
South Dakota,2025,3,617,96.5964343598055,9.1709886547812
South Dakota,2025,4,442,97.05882352941177,9.213800904977376
South Dakota,2025,5,346,96.82080924855492,9.111271676300579
South Dakota,2025,6,697,97.27403156384506,8.851506456241033
South Dakota,2025,7,756,97.75132275132276,8.75
South Dakota,2025,8,386,94.81865284974094,9.516839378238341
South Dakota,2025,9,377,92.3076923076923,10.226790450928382
South Dakota,2025,10,510,95.09803921568627,9.746078431372549
South Dakota,2025,11,524,96.37404580152672,9.427480916030534
South Dakota,2025,12,1672,97.188995215311,9.138157894736842
South Dakota,2026,1,2178,98.0257116620753,8.37809917355372
South Dakota,2026,2,1120,96.96428571428571,9.024553571428571
South Dakota,2026,3,614,95.11400651465797,9.530130293159608
South Dakota,2026,4,454,96.47577092511013,9.20704845814978
South Dakota,2026,5,343,96.20991253644316,9.075801749271138
South Dakota,2026,6,644,95.96273291925466,9.141304347826088
South Dakota,2026,7,728,95.6043956043956,9.134615384615385
South Dakota,2026,8,390,96.41025641025641,9.385897435897435
Tennessee,2020,1,13682,94.63528723870779,9.390659260342055
